district,x,y
aveiro,3,166
beja,79,-279
braga,23,290
bragança,205,285
castelo branco,134,41
coimbra,17,83
évora,84,-161
faro,39,-380
funchal,-240,-180
guarda,161,160
leiria,-40,10
lisboa,-82,-100
ponta delgada,-150,-275
portalegre,112,-64
porto,17,242
santarém,-2,-50
setúbal,-4,-211
viana do castelo,-4,320
vila real,110,273
viseu,81,178
